"구분,지점코드,숙소명,비교대상자사코드,상권명,,,야호,,,,,,,,,,,,,"
"자사,3014076,아늑호텔 홍대점,,신촌/홍대/합정,,,,,,,,,,,,,,,,"
"경쟁사,25589,홍대 더 디자이너스,3014076,신촌/홍대/합정,,,,,,,,,,,,,,,,"
"경쟁사,3010583,홍대 나인브릭 호텔,3014076,신촌/홍대/합정,,,,,,,,,,,,,,,,"
"경쟁사,3017304,홍대 보보호텔,3014076,신촌/홍대/합정,,,,,,,,,,,,,,,,"
"자사,10054224,누베르 서울 호텔 이태원 by 아늑,,이태원/용산/서울역/명동/회현,,,,,,,,,,,,,,,,"
"경쟁사,3006882,이태원 에이원 호텔,10054224,이태원/용산/서울역/명동/회현,,,,,,,,,,,,,,,,"
"경쟁사,3000655,해밀톤 호텔,10054224,이태원/용산/서울역/명동/회현,,,,,,,,,,,,,,,,"
"경쟁사,3001110,임피리얼 팰리스 부티크 호텔 이태원,10054224,이태원/용산/서울역/명동/회현,,,,,,,,,,,,,,,,"
"자사,1002097,크로와상 호텔 구리 by 아늑,,구리,,,,,,,,,,,,,,,,"
"경쟁사,1000111651,구리 바리스타 호텔,1002097,구리,,,,,,,,,,,,,,,,"
"경쟁사,24150,구리 러쉬(LUSH),1002097,구리,,,,,,,,,,,,,,,,"
"경쟁사,26958,구리 크림 호텔,1002097,구리,,,,,,,,,,,,,,,,"
"자사,10047317,아늑호텔 구리점,,구리,,,,,,,,,,,,,,,,"
"경쟁사,1002072,구리 캘리포니아 호텔,10047317,구리,,,,,,,,,,,,,,,,"
"경쟁사,3010096,구리 호텔 月 (월),10047317,구리,,,,,,,,,,,,,,,,"
"경쟁사,3000355,구리 YAM 구리수택점,10047317,구리,,,,,,,,,,,,,,,,"
"자사,1000110964,고요37호텔 오산 by 아늑,,동탄/화성/오산/병점,,,,,,,,,,,,,,,,"
"경쟁사,10062453,오산 그린파크,1000110964,동탄/화성/오산/병점,,,,,,,,,,,,,,,,"
"경쟁사,1000111803,오산 M,1000110964,동탄/화성/오산/병점,,,,,,,,,,,,,,,,"
"경쟁사,3008269,오산 YAM 오산역점,1000110964,동탄/화성/오산/병점,,,,,,,,,,,,,,,,"
"자사,26034,아늑호텔 오산점,,동탄/화성/오산/병점,,,,,,,,,,,,,,,,"
"경쟁사,3011975,오산 CHILL7,26034,동탄/화성/오산/병점,,,,,,,,,,,,,,,,"
"경쟁사,1000102619,오산 제이 호텔,26034,동탄/화성/오산/병점,,,,,,,,,,,,,,,,"
"경쟁사,3016190,오산 아너스 호텔,26034,동탄/화성/오산/병점,,,,,,,,,,,,,,,,"
"자사,3010914,아늑호텔 월곶점,,시흥(월곶/정왕/오이도/거북섬),,,,,,,,,,,,,,,,"
"경쟁사,3001905,월곶 크루즈,3010914,시흥(월곶/정왕/오이도/거북섬),,,,,,,,,,,,,,,,"
"경쟁사,1018966,월곶 발렌타인 호텔,3010914,시흥(월곶/정왕/오이도/거북섬),,,,,,,,,,,,,,,,"
"경쟁사,3020336,월곶 더 클래식,3010914,시흥(월곶/정왕/오이도/거북섬),,,,,,,,,,,,,,,,"
"자사,23683,워커스 호텔 안산 by 아늑,,안산 고잔/상록수/선부동/월피동,,,,,,,,,,,,,,,,"
"경쟁사,1000111732,안산 호텔G9,23683,안산 고잔/상록수/선부동/월피동,,,,,,,,,,,,,,,,"
"경쟁사,1000096365,안산 바인호텔,23683,안산 고잔/상록수/선부동/월피동,,,,,,,,,,,,,,,,"
"경쟁사,3002317,안산 어반브라운,23683,안산 고잔/상록수/선부동/월피동,,,,,,,,,,,,,,,,"
"자사,1020056,아늑호텔 일산 탄현점,,일산/고양,,,,,,,,,,,,,,,,"
"경쟁사,26185,일산(탄현) 니꼬,1020056,일산/고양,,,,,,,,,,,,,,,,"
"경쟁사,3017609,일산(탄현) 사이버21,1020056,일산/고양,,,,,,,,,,,,,,,,"
"경쟁사,27858,일산(탄현) 캐리,1020056,일산/고양,,,,,,,,,,,,,,,,"
"자사,25669,아늑료칸호텔 파주 금촌점,,파주,,,,,,,,,,,,,,,,"
"경쟁사,3018485,파주 금촌 구구호텔,25669,파주,,,,,,,,,,,,,,,,"
"경쟁사,1000114352,파주 브라운도트 파주금촌점,25669,파주,,,,,,,,,,,,,,,,"
"경쟁사,1004178,파주 금촌 LIP,25669,파주,,,,,,,,,,,,,,,,"
"자사,25466,심작 호텔 동탄 by 아늑,,동탄/화성/오산/병점,,,,,,,,,,,,,,,,"
"경쟁사,3016671,동탄 JS 부티크 호텔,25466,동탄/화성/오산/병점,,,,,,,,,,,,,,,,"
"경쟁사,1000105893,화성 씨플러스 레지던스,25466,동탄/화성/오산/병점,,,,,,,,,,,,,,,,"
"경쟁사,26279,동탄 3S호텔(BIZ) 동탄점,25466,동탄/화성/오산/병점,,,,,,,,,,,,,,,,"
"자사,10043376,아늑호텔 인천 부평점,,부평,,,,,,,,,,,,,,,,"
"경쟁사,1000109030,인천(부평) 테이크원,10043376,부평,,,,,,,,,,,,,,,,"
"경쟁사,10045390,인천(부평) 갤러리아 호텔,10043376,부평,,,,,,,,,,,,,,,,"
"경쟁사,100452,인천(부평) 델루나 호텔,10043376,부평,,,,,,,,,,,,,,,,"
"자사,1000110730,아늑호텔 인천 송도점,,송도/연수,,,,,,,,,,,,,,,,"
"경쟁사,10062153,인천(송도) 호텔 아주르,1000110730,송도/연수,,,,,,,,,,,,,,,,"
"경쟁사,1013749,인천(송도) 소풍,1000110730,송도/연수,,,,,,,,,,,,,,,,"
"경쟁사,10046590,인천(송도) 더설레임 호텔 연수구 인천공항점,1000110730,송도/연수,,,,,,,,,,,,,,,,"
"자사,10053561,아늑호텔 인천 구월점,,구월/소래포구/호구포,,,,,,,,,,,,,,,,"
"경쟁사,26791,인천(구월동) 호텔 론도,10053561,구월/소래포구/호구포,,,,,,,,,,,,,,,,"
"경쟁사,25311,인천(구월동) 호텔 더 디자이너스,10053561,구월/소래포구/호구포,,,,,,,,,,,,,,,,"
"경쟁사,3009573,인천(구월동) 아시아드반월호텔,10053561,구월/소래포구/호구포,,,,,,,,,,,,,,,,"
"자사,10039673,소륜 호텔 대전 by 아늑,,대덕구(중리/신탄진),,,,,,,,,,,,,,,,"
"경쟁사,1000109414,대전 호텔 어반브라운,10039673,대덕구(중리/신탄진),,,,,,,,,,,,,,,,"
"경쟁사,1000112963,대전 중리 호텔 라움,10039673,대덕구(중리/신탄진),,,,,,,,,,,,,,,,"
