지점코드,숙소명,객실타입,대실상태,대실금액,숙박상태,숙박금액,수집일시,체크인
3014076,홍대 아늑호텔,"레이트 체크인 - 객실 랜덤배정, 연박 예약 및 차량불가",마감,0,판매중,130000,2026-05-22 20:43,2026-06-03
3014076,홍대 아늑호텔,"도보특가 - 객실 랜덤배정, 연박 예약 및 차량불가",마감,0,판매중,150000,2026-05-22 20:43,2026-06-03
3014076,홍대 아늑호텔,아늑 스탠다드 - 연박 예약 및 차량불가,마감,0,판매중,170000,2026-05-22 20:43,2026-06-03
3014076,홍대 아늑호텔,프리미엄 트윈,마감,0,판매중,180000,2026-05-22 20:43,2026-06-03
3014076,홍대 아늑호텔,TV연결 게임,마감,0,판매중,190000,2026-05-22 20:43,2026-06-03
3014076,홍대 아늑호텔,스피커,마감,0,판매중,190000,2026-05-22 20:43,2026-06-03
3014076,홍대 아늑호텔,요가 명상 다도,마감,0,판매중,190000,2026-05-22 20:43,2026-06-03
3014076,홍대 아늑호텔,와인러버 in 아늑,마감,0,판매중,190000,2026-05-22 20:43,2026-06-03
3014076,홍대 아늑호텔,영화,마감,0,판매중,240000,2026-05-22 20:43,2026-06-03
3014076,홍대 아늑호텔,빠른 입실 - 객실 랜덤 배정,마감,0,마감,180000,2026-05-22 20:43,2026-06-03
3014076,홍대 아늑호텔,늦은 퇴실 - 객실 랜덤 배정,마감,0,마감,180000,2026-05-22 20:43,2026-06-03
25589,홍대 더 디자이너스,레이트체크아웃 특가 스탠다드 더블,마감,0,판매중,125000,2026-05-22 20:43,2026-06-03
25589,홍대 더 디자이너스,레이트체크아웃 디럭스더블,마감,0,판매중,133000,2026-05-22 20:43,2026-06-03
25589,홍대 더 디자이너스,레이트체크아웃 특가 세미스위트,마감,0,판매중,133000,2026-05-22 20:43,2026-06-03
25589,홍대 더 디자이너스,레이트체크아웃 특가 스위트,마감,0,판매중,143000,2026-05-22 20:43,2026-06-03
25589,홍대 더 디자이너스,레이트체크아웃 특가 스탠다드 더블+2인조식,마감,0,판매중,145000,2026-05-22 20:43,2026-06-03
25589,홍대 더 디자이너스,레이트체크아웃 특가 세미스위트+2인조식,마감,0,판매중,153000,2026-05-22 20:43,2026-06-03
25589,홍대 더 디자이너스,레이트체크아웃 디럭스더블+2인조식,마감,0,판매중,153000,2026-05-22 20:43,2026-06-03
25589,홍대 더 디자이너스,레이트체크아웃 특가 로얄 스위트,마감,0,판매중,160000,2026-05-22 20:43,2026-06-03
25589,홍대 더 디자이너스,레이트체크아웃 특가 스위트+2인조식,마감,0,판매중,163000,2026-05-22 20:43,2026-06-03
25589,홍대 더 디자이너스,레이트체크아웃 특가 로얄 스위트+2인조식,마감,0,판매중,180000,2026-05-22 20:43,2026-06-03
25589,홍대 더 디자이너스,스위트 패밀리,마감,0,판매중,228000,2026-05-22 20:43,2026-06-03
25589,홍대 더 디자이너스,파티룸,마감,0,판매중,320000,2026-05-22 20:43,2026-06-03
3010583,홍대 나인브릭 호텔,슈페리어 더블,판매중,60000,판매중,220000,2026-05-22 20:43,2026-06-03
3010583,홍대 나인브릭 호텔,디럭스 더블,판매중,70000,판매중,240000,2026-05-22 20:43,2026-06-03
3010583,홍대 나인브릭 호텔,프리미엄 디럭스 더블,마감,0,판매중,260000,2026-05-22 20:43,2026-06-03
3010583,홍대 나인브릭 호텔,주니어 펜트하우스,마감,0,마감,330000,2026-05-22 20:43,2026-06-03
3010583,홍대 나인브릭 호텔,펜트하우스,마감,0,마감,360000,2026-05-22 20:43,2026-06-03
